Source Labware,Source Slot,Source Well,Source Aspiration Height Above Bottom (in mm),Dest Labware,Dest Slot,Dest Well,Volume (in ul)
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F7,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G7,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H7,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H8,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H9,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,F10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,G10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,H10,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,A11,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,B11,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,C11,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,D11,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,1,E11,40
